Alternatives,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Iconia Talk S,260.0,9.0,2016.0,7.0,128.0,16384.0,2048.0,13.0,2.0,4.0,2.0,170.0
Liquid Z6 Plus,169.0,5.0,2016.0,5.0,256.0,32768.0,3072.0,13.0,5.0,4.0,2.0,250.0
Liquid X2,166.0,5.0,2015.0,5.0,32.0,32768.0,3072.0,13.0,13.0,4.0,2.0,230.0
Liquid Zest,125.0,4.0,2016.0,5.0,32.0,8192.0,1024.0,8.0,5.0,4.0,2.0,110.0
Predator 8,353.0,12.0,2015.0,8.0,256.0,32768.0,2048.0,5.0,2.0,4.0,2.0,350.0
Liquid Jade Primo,150.0,5.0,2015.0,5.0,256.0,32768.0,3072.0,21.0,8.0,4.0,3.0,220.0
Iconia Tab 10 A3-A30,540.0,1.0,2015.0,10.0,256.0,16384.0,2048.0,5.0,2.0,4.0,2.0,250.0
Iconia Tab A3-A20,508.0,12.0,2014.0,10.0,256.0,16384.0,1024.0,5.0,2.0,4.0,2.0,190.0
Iconia Tab A3-A20FHD,508.0,12.0,2014.0,10.0,256.0,32768.0,2048.0,5.0,2.0,4.0,2.0,230.0
Liquid Jade Z,110.0,3.0,2015.0,5.0,32.0,8192.0,1024.0,13.0,5.0,4.0,2.0,200.0
Liquid Z520,118.0,4.0,2015.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,130.0
Liquid Z220,120.0,4.0,2015.0,4.0,32.0,8192.0,1024.0,5.0,2.0,4.0,2.0,90.0
Liquid M220,119.0,4.0,2015.0,4.0,32.0,4096.0,512.0,5.0,2.0,4.0,2.0,80.0
Liquid Z410,145.0,11.0,2015.0,4.0,32.0,8192.0,1024.0,5.0,2.0,4.0,2.0,130.0
Liquid Jade S,116.0,9.0,2014.0,5.0,32.0,16384.0,2048.0,13.0,5.0,4.0,2.0,200.0
Liquid Z500,150.0,5.0,2014.0,5.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,150.0
Liquid X1,164.0,5.0,2014.0,5.0,32.0,16384.0,2048.0,13.0,2.0,4.0,2.0,260.0
Liquid Jade,110.0,3.0,2014.0,5.0,32.0,8192.0,1024.0,13.0,2.0,4.0,2.0,180.0
Liquid E700,155.0,5.0,2014.0,5.0,32.0,16384.0,2048.0,8.0,2.0,4.0,2.0,200.0
Liquid E600,155.0,5.0,2014.0,5.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,200.0
Iconia Tab 8 A1-840FHD,360.0,12.0,2014.0,8.0,32.0,16384.0,2048.0,5.0,2.0,4.0,2.0,200.0
Iconia A1-830,380.0,13.0,2014.0,7.0,32.0,16384.0,1024.0,5.0,2.0,3.0,2.0,130.0
Liquid S2,229.0,8.0,2013.0,6.0,64.0,16384.0,2048.0,13.0,2.0,4.0,2.0,340.0
Liquid S1,195.0,6.0,2013.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,320.0
Liquid E2,140.0,4.0,2013.0,4.0,32.0,4096.0,1024.0,8.0,2.0,3.0,2.0,180.0
Iconia Tab A511,777.0,1.0,2012.0,10.0,32.0,16384.0,1024.0,5.0,1.0,2.0,2.0,250.0
Iconia Tab A510,680.0,1.0,2012.0,10.0,32.0,16384.0,1024.0,5.0,1.0,2.0,2.0,230.0
Iconia Tab A501,777.0,1.0,2011.0,10.0,32.0,16384.0,1024.0,5.0,2.0,2.0,2.0,490.0
Iconia Smart,185.0,6.0,2011.0,4.0,32.0,8192.0,512.0,8.0,2.0,2.0,2.0,220.0
Iconia Tab A500,730.0,1.0,2011.0,10.0,32.0,16384.0,1024.0,5.0,2.0,2.0,2.0,200.0
